Id	User	Host	db	Command	Time	State	Info
234	pool	localhost	burstpool	Sleep	968		NULL
235	pool	localhost	burstpool	Sleep	968		NULL
236	pool	localhost	burstpool	Sleep	968		NULL
237	pool	localhost	burstpool	Sleep	968		NULL
238	pool	localhost	burstpool	Sleep	968		NULL
239	pool	localhost	burstpool	Sleep	968		NULL
240	pool	localhost	burstpool	Sleep	968		NULL
241	pool	localhost	burstpool	Sleep	968		NULL
242	pool	localhost	burstpool	Sleep	968		NULL
243	pool	localhost	burstpool	Sleep	968		NULL
244	pool	localhost	burstpool	Sleep	968		NULL
245	pool	localhost	burstpool	Sleep	968		NULL
246	pool	localhost	burstpool	Sleep	968		NULL
247	pool	localhost	burstpool	Sleep	968		NULL
248	pool	localhost	burstpool	Sleep	968		NULL
249	pool	localhost	burstpool	Sleep	968		NULL
250	pool	localhost	burstpool	Sleep	968		NULL
251	pool	localhost	burstpool	Sleep	968		NULL
252	pool	localhost	burstpool	Sleep	968		NULL
253	pool	localhost	burstpool	Sleep	968		NULL
254	pool	localhost	burstpool	Sleep	968		NULL
255	pool	localhost	burstpool	Sleep	968		NULL
256	pool	localhost	burstpool	Sleep	968		NULL
257	pool	localhost	burstpool	Sleep	968		NULL
258	pool	localhost	burstpool	Sleep	968		NULL
259	pool	localhost	burstpool	Sleep	968		NULL
260	pool	localhost	burstpool	Sleep	968		NULL
261	pool	localhost	burstpool	Sleep	968		NULL
262	pool	localhost	burstpool	Sleep	968		NULL
263	pool	localhost	burstpool	Sleep	968		NULL
264	pool	localhost	burstpool	Sleep	968		NULL
265	pool	localhost	burstpool	Sleep	968		NULL
266	pool	localhost	burstpool	Sleep	968		NULL
267	pool	localhost	burstpool	Sleep	968		NULL
268	pool	localhost	burstpool	Sleep	968		NULL
269	pool	localhost	burstpool	Sleep	968		NULL
270	pool	localhost	burstpool	Sleep	968		NULL
271	pool	localhost	burstpool	Sleep	968		NULL
272	pool	localhost	burstpool	Sleep	968		NULL
273	pool	localhost	burstpool	Sleep	968		NULL
274	pool	localhost	burstpool	Sleep	968		NULL
275	pool	localhost	burstpool	Sleep	968		NULL
276	pool	localhost	burstpool	Sleep	968		NULL
277	pool	localhost	burstpool	Sleep	968		NULL
278	pool	localhost	burstpool	Sleep	968		NULL
279	pool	localhost	burstpool	Sleep	968		NULL
280	pool	localhost	burstpool	Sleep	968		NULL
281	pool	localhost	burstpool	Sleep	968		NULL
282	pool	localhost	burstpool	Sleep	968		NULL
283	pool	localhost	burstpool	Sleep	968		NULL
284	pool	localhost	burstpool	Sleep	968		NULL
285	pool	localhost	burstpool	Sleep	968		NULL
286	pool	localhost	burstpool	Sleep	968		NULL
287	pool	localhost	burstpool	Sleep	968		NULL
288	pool	localhost	burstpool	Sleep	968		NULL
289	pool	localhost	burstpool	Sleep	968		NULL
290	pool	localhost	burstpool	Sleep	968		NULL
291	pool	localhost	burstpool	Sleep	968		NULL
292	pool	localhost	burstpool	Sleep	968		NULL
293	pool	localhost	burstpool	Sleep	968		NULL
294	pool	localhost	burstpool	Sleep	968		NULL
295	pool	localhost	burstpool	Sleep	968		NULL
296	pool	localhost	burstpool	Sleep	968		NULL
297	pool	localhost	burstpool	Sleep	968		NULL
298	pool	localhost	burstpool	Sleep	968		NULL
299	pool	localhost	burstpool	Sleep	968		NULL
300	pool	localhost	burstpool	Sleep	968		NULL
301	pool	localhost	burstpool	Sleep	968		NULL
302	pool	localhost	burstpool	Sleep	968		NULL
303	pool	localhost	burstpool	Sleep	968		NULL
304	pool	localhost	burstpool	Sleep	968		NULL
305	pool	localhost	burstpool	Sleep	968		NULL
306	pool	localhost	burstpool	Sleep	968		NULL
307	pool	localhost	burstpool	Sleep	968		NULL
308	pool	localhost	burstpool	Sleep	968		NULL
309	pool	localhost	burstpool	Sleep	968		NULL
310	pool	localhost	burstpool	Sleep	968		NULL
311	pool	localhost	burstpool	Sleep	968		NULL
312	pool	localhost	burstpool	Sleep	968		NULL
313	pool	localhost	burstpool	Sleep	968		NULL
314	pool	localhost	burstpool	Sleep	968		NULL
315	pool	localhost	burstpool	Sleep	968		NULL
316	pool	localhost	burstpool	Sleep	968		NULL
317	pool	localhost	burstpool	Sleep	968		NULL
318	pool	localhost	burstpool	Sleep	968		NULL
319	pool	localhost	burstpool	Sleep	968		NULL
320	pool	localhost	burstpool	Sleep	968		NULL
321	pool	localhost	burstpool	Sleep	968		NULL
322	pool	localhost	burstpool	Sleep	968		NULL
323	pool	localhost	burstpool	Sleep	968		NULL
324	pool	localhost	burstpool	Sleep	968		NULL
325	pool	localhost	burstpool	Sleep	968		NULL
326	pool	localhost	burstpool	Sleep	968		NULL
327	pool	localhost	burstpool	Sleep	968		NULL
328	pool	localhost	burstpool	Sleep	968		NULL
329	pool	localhost	burstpool	Sleep	968		NULL
330	pool	localhost	burstpool	Sleep	968		NULL
331	pool	localhost	burstpool	Sleep	968		NULL
332	pool	localhost	burstpool	Sleep	968		NULL
333	pool	localhost	burstpool	Sleep	968		NULL
334	pool	localhost	burstpool	Sleep	968		NULL
335	pool	localhost	burstpool	Sleep	968		NULL
336	pool	localhost	burstpool	Sleep	968		NULL
337	pool	localhost	burstpool	Sleep	968		NULL
338	pool	localhost	burstpool	Sleep	968		NULL
339	pool	localhost	burstpool	Sleep	968		NULL
340	pool	localhost	burstpool	Sleep	968		NULL
341	pool	localhost	burstpool	Sleep	968		NULL
342	pool	localhost	burstpool	Sleep	968		NULL
343	pool	localhost	burstpool	Sleep	968		NULL
344	pool	localhost	burstpool	Sleep	968		NULL
345	pool	localhost	burstpool	Sleep	968		NULL
346	pool	localhost	burstpool	Sleep	968		NULL
347	pool	localhost	burstpool	Sleep	967		NULL
348	pool	localhost	burstpool	Sleep	967		NULL
349	pool	localhost	burstpool	Sleep	967		NULL
350	pool	localhost	burstpool	Sleep	953		NULL
351	pool	localhost	burstpool	Sleep	965		NULL
352	pool	localhost	burstpool	Sleep	965		NULL
353	pool	localhost	burstpool	Sleep	965		NULL
354	pool	localhost	burstpool	Sleep	965		NULL
355	pool	localhost	burstpool	Sleep	965		NULL
356	pool	localhost	burstpool	Sleep	965		NULL
357	pool	localhost	burstpool	Sleep	966		NULL
358	pool	localhost	burstpool	Sleep	5		NULL
359	pool	localhost	burstpool	Sleep	953		NULL
360	pool	localhost	burstpool	Sleep	967		NULL
361	pool	localhost	burstpool	Sleep	967		NULL
362	root	localhost	NULL	Query	0	NULL	show full processlist
Type	Name	Status
InnoDB		\n=====================================\n160409  8:58:49 INNODB MONITOR OUTPUT\n=====================================\nPer second averages calculated from the last 56 seconds\n-----------------\nBACKGROUND THREAD\n-----------------\nsrv_master_thread loops: 920 1_second, 919 sleeps, 91 10_second, 1 background, 1 flush\nsrv_master_thread log flush and writes: 919\n----------\nSEMAPHORES\n----------\nOS WAIT ARRAY INFO: reservation count 216, signal count 213\nMutex spin waits 200, rounds 311, OS waits 3\nRW-shared spins 11119, rounds 74567, OS waits 209\nRW-excl spins 5, rounds 120, OS waits 4\nSpin rounds per wait: 1.55 mutex, 6.71 RW-shared, 24.00 RW-excl\n------------\nTRANSACTIONS\n------------\nTrx id counter 91472A47\nPurge done for trx's n:o < 9146C917 undo n:o < 0\nHistory list length 477\nLIST OF TRANSACTIONS FOR EACH SESSION:\n---TRANSACTION 0, not started\nMySQL thread id 362, OS thread handle 0xa70be5800, query id 29672 localhost root\nshow engine innodb status\n---TRANSACTION 0, not started\nMySQL thread id 350, OS thread handle 0xa70be2800, query id 10563 localhost pool\n---TRANSACTION 91471C55, not started\nMySQL thread id 353, OS thread handle 0xa70be3400, query id 2973 localhost pool\n---TRANSACTION 9147202A, not started\nMySQL thread id 359, OS thread handle 0xa70be4c00, query id 10316 localhost pool\n---TRANSACTION 91472A45, not started\nMySQL thread id 21, OS thread handle 0xa686db000, query id 29660 localhost pool\n---TRANSACTION 91471C03, not started\nMySQL thread id 11, OS thread handle 0xa686d8800, query id 29669 localhost pool\n---TRANSACTION 91471C06, not started\nMySQL thread id 3, OS thread handle 0xa686d6800, query id 29642 localhost pool\n---TRANSACTION 91471C00, not started\nMySQL thread id 6, OS thread handle 0xa686d7400, query id 29654 localhost pool\n---TRANSACTION 91472A46, not started\nMySQL thread id 2, OS thread handle 0xa686d6400, query id 29666 localhost pool\n---TRANSACTION 91471C07, not started\nMySQL thread id 12, OS thread handle 0xa686d8c00, query id 28674 localhost pool\n--------\nFILE I/O\n--------\nI/O thread 0 state: waiting for i/o request (insert buffer thread)\nI/O thread 1 state: waiting for i/o request (log thread)\nI/O thread 2 state: waiting for i/o request (read thread)\nI/O thread 3 state: waiting for i/o request (read thread)\nI/O thread 4 state: waiting for i/o request (read thread)\nI/O thread 5 state: waiting for i/o request (read thread)\nI/O thread 6 state: waiting for i/o request (write thread)\nI/O thread 7 state: waiting for i/o request (write thread)\nI/O thread 8 state: waiting for i/o request (write thread)\nI/O thread 9 state: waiting for i/o request (write thread)\nPending normal aio reads: 0 [0, 0, 0, 0] , aio writes: 0 [0, 0, 0, 0] ,\n ibuf aio reads: 0, log i/o's: 0, sync i/o's: 0\nPending flushes (fsync) log: 0; buffer pool: 0\n5581 OS file reads, 54 OS file writes, 54 OS fsyncs\n0.00 reads/s, 0 avg bytes/read, 0.07 writes/s, 0.07 fsyncs/s\n-------------------------------------\nINSERT BUFFER AND ADAPTIVE HASH INDEX\n-------------------------------------\nIbuf: size 1, free list len 170498, seg size 170500, 0 merges\nmerged operations:\n insert 0, delete mark 0, delete 0\ndiscarded operations:\n insert 0, delete mark 0, delete 0\nHash table size 17700857, node heap has 4445 buffer(s)\n2.62 hash searches/s, 11.00 non-hash searches/s\n---\nLOG\n---\nLog sequence number 669752910204\nLog flushed up to   669752910204\nLast checkpoint at  669752910204\n0 pending log writes, 0 pending chkp writes\n35 log i/o's done, 0.04 log i/o's/second\n----------------------\nBUFFER POOL AND MEMORY\n----------------------\nTotal memory allocated 8791261184; in additional pool allocated 0\nDictionary memory allocated 267152\nBuffer pool size   524288\nFree buffers       502755\nDatabase pages     17088\nOld database pages 6327\nModified db pages  0\nPending reads 0\nPending writes: LRU 0, flush list 0, single page 0\nPages made young 0, not young 0\n0.00 youngs/s, 0.00 non-youngs/s\nPages read 17088, created 0, written 12\n0.00 reads/s, 0.00 creates/s, 0.02 writes/s\nBuffer pool hit rate 1000 / 1000, young-making rate 0 / 1000 not 0 / 1000\nPages read ahead 0.00/s, evicted without access 0.00/s, Random read ahead 0.00/s\nLRU len: 17088, unzip_LRU len: 0\nI/O sum[0]:cur[0], unzip sum[0]:cur[0]\n--------------\nROW OPERATIONS\n--------------\n0 queries inside InnoDB, 0 queries in queue\n1 read views open inside InnoDB\nMain thread id 34405919744, state: sleeping\nNumber of rows inserted 0, updated 0, deleted 0, read 2586036\n0.00 inserts/s, 0.00 updates/s, 0.00 deletes/s, 1.75 reads/s\n----------------------------\nEND OF INNODB MONITOR OUTPUT\n============================\n
